Filename,Sample,MD5,Result,ResultRevised,HumanResult,CvResult,NInterfaces,NDetected,NCorrect,NMissing,NMissingLabel,NMissingBg,NMissingWeakSignal,NIncorrect,NIncorrectLabel,NIncorrectBg,NIncorrectDuplicate
R8S1S9-r5.00s2.00s3.00,R8:S1:S9-r5.00:s2.00:s3.00,6696b5bada9ebad77b7e95eb8ee4f1be,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S1S11-r5.00s1.00s4.00,R8:S1:S11-r5.00:s1.00:s4.00,67f8ea174efa78ca3a3cee561571f768,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S3-r5.00s5.00,R8:S3-r5.00:s5.00,f9485969927fefd035c222ee3c13cd15,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S3S22-r5.00s2.00s3.00,R8:S3:S22-r5.00:s2.00:s3.00,791b4cc82ff849f67aa6ee239f6dad4a,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S3S22-r5.00s3.00s2.00,R8:S3:S22-r5.00:s3.00:s2.00,5cbb57da69d7f0769bb068cbb4142e42,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S4-r5.00s5.00,R8:S4-r5.00:s5.00,d7597a749b6441fe4b1d6a9b335f2244,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S4S17-r5.00s2.50s2.50,R8:S4:S17-r5.00:s2.50:s2.50,5f4ba4b6a2fad9e3e4a7c7b5a58af835,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S5-r5.00s5.00,R8:S5-r5.00:s5.00,2443c3237ca07fc425d59b7fe31e4a8f,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S5S17-r5.00s1.50s3.50,R8:S5:S17-r5.00:s1.50:s3.50,8b5cd27144732c1369b0d0ed6b0570e0,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S6-r5.00s5.00,R8:S6-r5.00:s5.00,9b6c05bba3d80933f388e52bcd188987,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S6S16-r5.00s3.00s2.00,R8:S6:S16-r5.00:s3.00:s2.00,742e4a00cc57d12aee5b0348030e253d,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S8-r5.00s5.00,R8:S8-r5.00:s5.00,a858ecd7d74eb73d4dd5e1f7a80cfb63,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S9-r5.00s5.00,R8:S9-r5.00:s5.00,116fe1db9179e66c88bde0d771efcd3b,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S10-r5.00s5.00,R8:S10-r5.00:s5.00,c912cd41079e932e8aebaf0547cd090b,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R8S10S17-r5.00s3.50s1.50,R8:S10:S17-r5.00:s3.50:s1.50,a7654997bbb10ef7476b65332a6a4d0c,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
