Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R9:S4-r5.00:s5.00,R9,5.0,S4,5.0,20.0,18.0,4.1,explore,Y,0,id:Z1lqpMlkvOlL,prep:2881afc18f155b88224ee8cbf807c1ae,thread3,2024-10-04T02:20:36.698374-04:00,2024-10-04T22:04:29-04:00,id:Vrbp1jvDawZe,image:88778e6a467ff38abecc58e1e6462443,thread3,2024-10-06T00:47:04.754214-04:00,2024-10-06T01:58:47.374191-04:00,id:D8KAEvDx9nJb
R9:S11-r5.00:s5.00,R9,5.0,S11,5.0,15.8,8.8,19.4,explore,Y,0,id:1ZA60vAqPpA5,prep:2881afc18f155b88224ee8cbf807c1ae,thread3,2024-10-04T02:20:36.698374-04:00,2024-10-04T22:04:29-04:00,id:Vrbp1jvDawZe,image:88778e6a467ff38abecc58e1e6462443,thread3,2024-10-06T00:47:04.754214-04:00,2024-10-06T01:58:47.374191-04:00,id:D8KAEvDx9nJb
R9:S13-r5.00:s5.00,R9,5.0,S13,5.0,16.8,0.0,0.2,explore,Y,0,id:eGakldaMD3aE,prep:2881afc18f155b88224ee8cbf807c1ae,thread3,2024-10-04T02:20:36.698374-04:00,2024-10-04T22:04:29-04:00,id:Vrbp1jvDawZe,image:88778e6a467ff38abecc58e1e6462443,thread3,2024-10-06T00:47:04.754214-04:00,2024-10-06T01:58:47.374191-04:00,id:D8KAEvDx9nJb
R9:S15-r5.00:s5.00,R9,5.0,S15,5.0,16.8,5.7,8.0,explore,Y,0,id:pZx9joxM0Nxj,prep:2881afc18f155b88224ee8cbf807c1ae,thread3,2024-10-04T02:20:36.698374-04:00,2024-10-04T22:04:29-04:00,id:Vrbp1jvDawZe,image:88778e6a467ff38abecc58e1e6462443,thread3,2024-10-06T00:47:04.754214-04:00,2024-10-06T01:58:47.374191-04:00,id:D8KAEvDx9nJb
R9:S17-r5.00:s5.00,R9,5.0,S17,5.0,18.0,12.3,7.2,explore,Y,0,id:dORYzZRMmPRD,prep:2881afc18f155b88224ee8cbf807c1ae,thread3,2024-10-04T02:20:36.698374-04:00,2024-10-04T22:04:29-04:00,id:Vrbp1jvDawZe,image:88778e6a467ff38abecc58e1e6462443,thread3,2024-10-06T00:47:04.754214-04:00,2024-10-06T01:58:47.374191-04:00,id:D8KAEvDx9nJb
R9:S19-r5.00:s5.00,R9,5.0,S19,5.0,17.5,1.8,9.0,explore,Y,0,id:01G6nvGXPeGm,prep:2881afc18f155b88224ee8cbf807c1ae,thread3,2024-10-04T02:20:36.698374-04:00,2024-10-04T22:04:29-04:00,id:Vrbp1jvDawZe,image:88778e6a467ff38abecc58e1e6462443,thread3,2024-10-06T00:47:04.754214-04:00,2024-10-06T01:58:47.374191-04:00,id:D8KAEvDx9nJb
R9:S6-r5.00:s5.00,R9,5.0,S6,5.0,14.7,12.3,22.3,explore+,Y,0,id:BYDOjvDJe3DD,prep:c63c5d4ac1ac02209339d5886c50a858,thread3,2024-10-06T02:00:31.732630-04:00,2024-10-06T13:12:44-04:00,id:Vrbp1jvD1XXW,image:2766eac61ad8f4b4e34a14b17f72381e,thread3,2024-10-07T18:55:47.740938-04:00,2024-10-07T19:55:32.440152-04:00,id:Z1lqpMr6wAr0
R9:S7-r5.00:s5.00,R9,5.0,S7,5.0,15.8,8.2,10.8,explore+,Y,0,id:n0k9mGkMKjkW,prep:c63c5d4ac1ac02209339d5886c50a858,thread3,2024-10-06T02:00:31.732630-04:00,2024-10-06T13:12:44-04:00,id:Vrbp1jvD1XXW,image:2766eac61ad8f4b4e34a14b17f72381e,thread3,2024-10-07T18:55:47.740938-04:00,2024-10-07T19:55:32.440152-04:00,id:Z1lqpMr6wAr0
R9:S8-r5.00:s5.00,R9,5.0,S8,5.0,17.4,4.1,13.5,explore+,Y,0,id:mnk9jOkMGKkR,prep:c63c5d4ac1ac02209339d5886c50a858,thread3,2024-10-06T02:00:31.732630-04:00,2024-10-06T13:12:44-04:00,id:Vrbp1jvD1XXW,image:2766eac61ad8f4b4e34a14b17f72381e,thread3,2024-10-07T18:55:47.740938-04:00,2024-10-07T19:55:32.440152-04:00,id:Z1lqpMr6wAr0
R9:S9-r5.00:s5.00,R9,5.0,S9,5.0,17.4,13.7,11.3,explore+,Y,0,id:M8n3rxnVvNnP,prep:c63c5d4ac1ac02209339d5886c50a858,thread3,2024-10-06T02:00:31.732630-04:00,2024-10-06T13:12:44-04:00,id:Vrbp1jvD1XXW,image:2766eac61ad8f4b4e34a14b17f72381e,thread3,2024-10-07T18:55:47.740938-04:00,2024-10-07T19:55:32.440152-04:00,id:Z1lqpMr6wAr0
