Solvent,SMILES,InChIKey,Volume,VolumeUnit,dD,dP,dH,dT,d.Unit,LabId
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,UOCLXMDMGBRAIB-UHFFFAOYSA-N,100.4,cm3/mol,17.,4.3,2.,17.6,MPa^0.5,
"1,1,2,2-Tetrachloroethane",C(C(Cl)Cl)(Cl)Cl,QPFMBZIOSGYJDE-UHFFFAOYSA-N,105.2,cm3/mol,18.8,5.1,9.4,21.7,MPa^0.5,
"1,1-Dichloroethane",CC(Cl)Cl,SCYULBFZEHDVBN-UHFFFAOYSA-N,84.8,cm3/mol,16.6,8.2,0.4,18.4,MPa^0.5,
"1,1-Dichloroethylene",C=C(Cl)Cl,LGXVIGDEPROXKC-UHFFFAOYSA-N,79.,cm3/mol,17.,6.8,4.5,18.8,MPa^0.5,
"1,2,3,4-Tetrahydronaphthalene",C1CCC2=CC=CC=C2C1,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,136.,cm3/mol,19.6,2.,2.9,20.,MPa^0.5,
"1,2-Dibromoethane",C(CBr)Br,PAAZPARNPHGIKF-UHFFFAOYSA-N,87.,cm3/mol,19.6,6.8,12.1,23.9,MPa^0.5,
"1,2-Dichlorobenzene",C1=CC=C(C(=C1)Cl)Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N,112.8,cm3/mol,19.2,6.3,3.3,20.5,MPa^0.5,
"1,2-Dichloroethane",C(CCl)Cl,WSLDOOZREJYCGB-UHFFFAOYSA-N,79.4,cm3/mol,19.,7.4,4.1,20.9,MPa^0.5,
"1,3-Dimethylcyclohexane",CC1CCCC(C1)C,SGVUHPSBDNVHKL-UHFFFAOYSA-N,140.,cm3/mol,16.1,0.,1.1,16.13753388842298,MPa^0.5,
"1,3-Dioxolane",C1COCO1,WNXJIVFYUVYPPR-UHFFFAOYSA-N,69.9,cm3/mol,18.1,6.6,9.3,21.392989505910577,MPa^0.5,
"1,4-Diethylbenzene",CCC1=CC=C(C=C1)CC,DSNHSQKRULAAEI-UHFFFAOYSA-N,156.9,cm3/mol,18.,0.,0.6,18.,MPa^0.5,
"1,4-Dioxane",C1COCCO1,RYHBNJHYFVUHQT-UHFFFAOYSA-N,85.7,cm3/mol,19.,1.8,7.4,20.5,MPa^0.5,
1-Butanol,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,91.5,cm3/mol,16.,5.7,15.8,23.1,MPa^0.5,
1-Chlorobutane,CCCCCl,VFWCMGCRMGJXDK-UHFFFAOYSA-N,104.9,cm3/mol,16.4,5.5,2.,17.4,MPa^0.5,
1-Chloropropane,CCCCl,SNMVRZFUUCLYTO-UHFFFAOYSA-N,88.1,cm3/mol,16.,7.8,2.,17.8,MPa^0.5,
1-Decanol,CCCCCCCCCCO,MWKFXSUHUHTGQN-UHFFFAOYSA-N,191.8,cm3/mol,17.6,2.7,10.,20.5,MPa^0.5,
1-Methoxy2-Propanol,CC(COC)O,ARXJGSRGQADJSQ-UHFFFAOYSA-N,98.2,cm3/mol,15.6,6.3,11.6,20.435508312738392,MPa^0.5,
1-Methyl2-Pyrrolidinone,CN1CCCC1=O,SECXISVLQFMRJM-UHFFFAOYSA-N,96.6,cm3/mol,18.,12.3,7.2,22.95931183637698,MPa^0.5,
1-Methylnaphthalene,CC1=CC=CC2=CC=CC=C12,QPUYECUOLPXSFR-UHFFFAOYSA-N,138.8,cm3/mol,20.6,0.8,4.7,21.2,MPa^0.5,
1-Octanol,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,157.7,cm3/mol,17.,3.3,11.9,20.9,MPa^0.5,
1-Phenoxy2-Propanol,CC(COC1=CC=CC=C1)O,IBLKWZIFZMJLFL-UHFFFAOYSA-N,143.2,cm3/mol,17.4,5.3,11.5,21.519758362955656,MPa^0.5,
1-Propanol,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,75.2,cm3/mol,16.,6.8,17.4,24.6,MPa^0.5,
1-Tridecanol,CCCCCCCCCCCCCO,XFRVVPUIAFSTFO-UHFFFAOYSA-N,242.,cm3/mol,14.3,3.1,9.,17.2,MPa^0.5,
